Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Logistic Regression,logistic_001,True,"{""C"": 0.01}",0.999625,0.0005590169943749355,1.0,0.0,0.9987012987012986,0.001935989590908893,1.0,0.0,0.9993494757968804,0.000969963322784092,1.0,0.0,1.0,0.0,0.14442172050476074,0.08550769998691976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_002,False,"{""C"": 0.01}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.16272892951965331,0.08028059999924153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_003,True,"{""C"": 0.1}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20160245895385742,0.06591870001284406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_004,False,"{""C"": 0.1}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05789761543273926,0.026235099998302758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_005,True,"{""C"": 1.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01973381042480469,0.029257700021844357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_006,False,"{""C"": 1.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02134079933166504,0.03582080005435273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_007,True,"{""C"": 10.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02287425994873047,0.029453299997840077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Logistic Regression,logistic_008,False,"{""C"": 10.0}",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02288827896118164,0.022059100039768964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
