Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Perceptron,perceptron_023,True,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.0001}",0.9945,0.0092110667134702,0.982053034445052,0.0297375132577428,1.0,0.0,0.9922671353251318,0.0129505331648088,0.9907605512912786,0.0153897539874574,1.0,0.0,1.0,0.0,0.0243378639221191,0.0231260000145994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_024,False,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l1"", ""tol"": 0.0001}",0.999375,0.0013975424859373,1.0,0.0,0.997835497835498,0.0048399739772722,1.0,0.0,0.998911860718172,0.0024331534031553,1.0,0.0,1.0,0.0,0.0217700004577636,0.0284974999958649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_025,True,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.001}",0.974125,0.0112465272417755,0.9389352708878876,0.0461393616760227,0.9774891774891774,0.0503357293636316,0.9727592267135324,0.0213262936722523,0.9561119286200104,0.0190153360450723,1.0,5.551115123125783e-17,1.0,0.0,0.0239942550659179,0.0323949999874457,0.995,0.9829642248722316,1.0,0.9929725931131412,0.9914089347079038,1.0,1.0,1413,10,0,577
Perceptron,perceptron_026,False,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.0234327316284179,0.0435192000004462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_027,True,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.0001}",0.95575,0.0540081012441652,0.968901878914405,0.0520195093171123,0.8813852813852814,0.2043672922524872,0.985940246045694,0.0239767375213396,0.908915134205315,0.1254802916883503,1.0,0.0,1.0,0.0,0.0287072658538818,0.0569241999764926,0.9675,0.8987538940809969,1.0,0.954321855235418,0.9466776045939296,1.0,1.0,1358,65,0,577
Perceptron,perceptron_028,False,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l1"", ""tol"": 0.0001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.0249636173248291,0.0378817000309936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_029,True,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.001}",0.974125,0.0112465272417755,0.9389352708878876,0.0461393616760227,0.9774891774891774,0.0503357293636316,0.9727592267135324,0.0213262936722523,0.9561119286200104,0.0190153360450723,1.0,5.551115123125783e-17,1.0,0.0,0.0252941608428955,0.0258434999850578,0.995,0.9829642248722316,1.0,0.9929725931131412,0.9914089347079038,1.0,1.0,1413,10,0,577
Perceptron,perceptron_030,False,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.0247393608093261,0.0357033999753184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
Perceptron,perceptron_031,True,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.0001}",0.95575,0.0540081012441652,0.968901878914405,0.0520195093171123,0.8813852813852814,0.2043672922524872,0.985940246045694,0.0239767375213396,0.908915134205315,0.1254802916883503,1.0,0.0,1.0,0.0,0.0266759872436523,0.0432077999575994,0.9675,0.8987538940809969,1.0,0.954321855235418,0.9466776045939296,1.0,1.0,1358,65,0,577
Perceptron,perceptron_032,False,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l1"", ""tol"": 0.0001}",0.999625,0.0003423265984407,1.0,0.0,0.9987012987012986,0.0011855466612665,1.0,0.0,0.9993499458288192,0.0005934155552602,1.0,5.551115123125783e-17,1.0,0.0,0.0235578536987304,0.0372595000080764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1423,0,0,577
