Model,Config ID,Folds,Full Accuracy Mean,Ablated Accuracy Mean,Delta Accuracy Mean (Ablated - Full),Delta Accuracy Std,Full Precision Mean,Ablated Precision Mean,Delta Precision Mean (Ablated - Full),Delta Precision Std,Full Recall Mean,Ablated Recall Mean,Delta Recall Mean (Ablated - Full),Delta Recall Std,Full Specificity Mean,Ablated Specificity Mean,Delta Specificity Mean (Ablated - Full),Delta Specificity Std,Full F1 Mean,Ablated F1 Mean,Delta F1 Mean (Ablated - Full),Delta F1 Std,Full ROC-AUC Mean,Ablated ROC-AUC Mean,Delta ROC-AUC Mean (Ablated - Full),Delta ROC-AUC Std
logistic,logistic_002,5,1.0,0.9574999999999999,-0.0425,0.006419574557554422,1.0,1.0,0.0,0.0,1.0,0.8528138528138529,-0.14718614718614714,0.022232292840015315,1.0,1.0,0.0,0.0,1.0,0.920435979791927,-0.07956402020807293,0.012997620164619927,1.0,0.9885699830339549,-0.011430016966045087,0.0036172005970888316
knn,knn_002,5,1.0,0.91975,-0.08025,0.007134314087563022,1.0,1.0,0.0,0.0,1.0,0.722077922077922,-0.277922077922078,0.02470758125562946,1.0,1.0,0.0,0.0,1.0,0.8384229327587569,-0.16157706724124302,0.01650550266158,1.0,0.9720843889560937,-0.02791561104390632,0.006845689065661903
perceptron,perceptron_002,5,1.0,0.9622499999999998,-0.03774999999999999,0.01043581573237089,1.0,0.951600659530175,-0.04839934046982504,0.05559156957705616,1.0,0.9207792207792208,-0.07922077922077922,0.045752476504295585,1.0,0.9790861159929701,-0.02091388400702989,0.025212181146473528,1.0,0.9339016480214848,-0.06609835197851519,0.016887934440425623,1.0,0.9852536157457072,-0.014746384254292888,0.0072679239406732874
mlp,mlp_016,5,1.0,0.9798749999999998,-0.020125000000000014,0.0038880827537489406,1.0,0.9995337995337994,-0.0004662004662004726,0.00104245593356635,1.0,0.9307359307359307,-0.06926406926406925,0.013254814625450065,1.0,0.9998242530755711,-0.00017574692442883232,0.0003929820698593874,1.0,0.9638706696227789,-0.03612933037722106,0.007203743097029908,1.0,0.9885391702614902,-0.01146082973850988,0.004110755215723104
random_forest,random_forest_001,5,1.0,0.9795,-0.020500000000000008,0.0038628842850906005,1.0,0.991326649205009,-0.008673350794991075,0.0069036421065479915,1.0,0.9372294372294372,-0.06277056277056277,0.01049281354419116,1.0,0.9966608084358523,-0.0033391915641476145,0.0026653340752377714,1.0,0.9634917395053548,-0.03650826049464515,0.006966528144259389,1.0,0.9825898325458958,-0.01741016745410411,0.005993368007876575
